,date,rConsumption,USGrowth,GDPDef,RFR,qt,year,GDPDef_p,RFR_Q,Rt,mt
5,1972-04-01,3370.736,1.28,23.604,3.77,2,1972,0.006223889504646474,0.0032011104953535256,1.0260341750114825,0.8840894722713433
6,1972-07-01,3422.6820000000002,1.293333333333333,23.83,4.22,3,1972,0.009574648364683913,0.0009753516353160855,1.0008420183019824,0.9032008251216491
7,1972-10-01,3503.0009999999997,1.356666666666667,24.134,4.863333333333332,4,1972,0.01275702895509867,-0.0005986956217653387,1.0362120432098503,0.8613763273388481
8,1973-01-01,3566.9570000000003,1.3066666666666664,24.412,5.7,1,1973,0.011519018811634973,0.002730981188365027,0.9516259443333278,0.8881565416542235
9,1973-04-01,3565.349,1.1966666666666663,24.787,6.603333333333333,2,1973,0.015361297722431555,0.0011470356109017782,0.9004550288081806,0.9926820084098452
10,1973-07-01,3577.8979999999997,1.243333333333333,25.27,8.323333333333332,3,1973,0.019486020898051404,0.0013223124352819277,1.0195111935866283,0.9693480693151145
11,1973-10-01,3567.2270000000003,1.1766666666666663,25.773000000000003,7.5,4,1973,0.01990502572220043,-0.001155025722200432,0.9264756713287379,1.0079023272310599
12,1974-01-01,3535.312,1.13,26.26,7.616666666666665,1,1974,0.01889574360765134,0.00014592305901532654,0.941444199735125,1.044848176776781
13,1974-04-01,3548.0409999999997,1.02,26.88,8.153333333333332,2,1974,0.02361005331302346,-0.0032267199796901305,0.8790448139436138,0.9688797975491317
14,1974-07-01,3563.282,0.8333333333333331,27.668000000000003,8.19,3,1974,0.029315476190476364,-0.008840476190476364,0.787677987861811,0.9648633475736115
15,1974-10-01,3511.197,0.8366666666666666,28.482,7.36,4,1974,0.02942026890270344,-0.01102026890270344,0.9745797310972966,1.0814468450491266
16,1975-01-01,3540.647,0.9766666666666663,29.129,5.75,1,1975,0.02271610139737379,-0.008341101397373788,1.1446145758934627,0.9416089868957209
17,1975-04-01,3598.886,1.12,29.561999999999998,5.393333333333333,2,1975,0.014864911256822877,-0.0013815779234895454,1.131892767924065,0.8976818311219835
18,1975-07-01,3650.035,1.0766666666666664,30.084,6.33,3,1975,0.017657803937487282,-0.0018328039374872832,0.9436517198720362,0.9096232678055877
19,1975-10-01,3689.285,1.1166666666666665,30.587,5.626666666666666,4,1975,0.01671985108363261,-0.002653184416965944,1.020431851702745,0.9284619952633869
20,1976-01-01,3763.048,1.2766666666666664,30.910999999999998,4.916666666666666,1,1976,0.010592735475855708,0.001698931190810958,1.1326908466136965,0.879123486744248
21,1976-04-01,3797.67,1.3,31.221999999999998,5.156666666666666,2,1976,0.010061143282326768,0.002830523384339898,1.0082156191197622,0.9370664732062913
22,1976-07-01,3837.6540000000005,1.336666666666667,31.625999999999998,5.15,3,1976,0.012939593876112987,-6.459387611298592e-05,1.0152655343290153,0.9297017291838388
23,1976-10-01,3887.447,1.3633333333333333,32.192,4.673333333333333,4,1976,0.017896667299057922,-0.00621333396572459,1.0020534573892212,0.9163116478356366
24,1977-01-01,3933.268,1.3533333333333333,32.711,4.63,1,1977,0.016122017892644003,-0.0045470178926440025,0.9765430187821726,0.9227856835002914
