,date,rConsumption,USGrowth,GDPDef,RFR,qt,year,GDPDef_p,rUSGrowth,rRFR
63,1986-10-01,5401.98,5.708125,56.062,5.353333333333333,4,1986,0.005452132429426992,5.67717230476972,5.324304519995719
64,1987-01-01,5407.371999999999,6.57258064516129,56.418,5.536666666666666,1,1987,0.006350112375584249,6.531107379365313,5.5017300625096
65,1987-04-01,5481.166,6.873015873015873,56.809,5.656666666666666,2,1987,0.006930412279768872,6.825710882497659,5.617733457726768
66,1987-07-01,5543.723000000001,7.45171875,57.239,6.043333333333333,3,1987,0.007569223186467022,7.39573875275162,5.9979336349924575
67,1987-10-01,5555.451,5.974375,57.695,5.863333333333332,4,1987,0.007966596201890441,5.9271557435653,5.816991709275788
68,1988-01-01,5653.588000000001,6.153968253968254,58.147,5.723333333333333,1,1988,0.007834301065950289,6.1061309854798775,5.678843563153157
69,1988-04-01,5695.326,6.38936507936508,58.713,6.21,2,1988,0.009733950160799365,6.327770873057777,6.15013489346482
70,1988-07-01,5745.933000000001,6.54765625,59.415,7.01,3,1988,0.011956466199989801,6.4702943937768245,6.9271754607422364
71,1988-10-01,5811.264,6.738253968253968,59.928999999999995,7.726666666666666,4,1988,0.008651014053690176,6.680461204488803,7.660396469155166
72,1989-01-01,5838.225,7.201290322580645,60.553000000000004,8.54,1,1989,0.010412321246808798,7.1270808670410295,8.45199511172031
73,1989-04-01,5865.477,7.83953125,61.198,8.41,2,1989,0.010651825673376969,7.756906039106671,8.321362299421551
74,1989-07-01,5922.2609999999995,8.57111111111111,61.645,7.843333333333333,3,1989,0.0073041602666754635,8.508960301367145,7.786459783167057
75,1989-10-01,5948.0,8.67142857142857,62.083999999999996,7.653333333333332,4,1989,0.007121421039824716,8.61011233628172,7.599216115800099
76,1990-01-01,5998.058000000001,8.43984126984127,62.754,7.76,1,1990,0.010791830423297455,8.349732373981347,7.677149504414061
77,1990-04-01,6016.329000000001,8.76095238095238,63.457,7.746666666666665,2,1990,0.011202473149122039,8.66389532619389,7.660846242337329
78,1990-07-01,6040.1630000000005,8.414920634920636,64.001,7.476666666666666,3,1990,0.00857273429251304,8.343394927112994,7.413115992979275
79,1990-10-01,5994.2119999999995,7.88453125,64.477,6.99,4,1990,0.007437383790878327,7.826323875664966,6.938396482466616
80,1991-01-01,5971.672,8.956885245901638,65.109,6.0233333333333325,1,1991,0.009801944879569424,8.869942557864503,5.964866045144808
81,1991-04-01,6021.1630000000005,9.8,65.587,5.56,2,1991,0.007341534964444341,9.728577309527802,5.519478555201487
82,1991-07-01,6051.184,10.0715625,66.09899999999999,5.376666666666666,3,1991,0.007806425053745292,9.993548611741481,5.33501923881854
83,1991-10-01,6048.156,10.29609375,66.492,4.54,4,1991,0.005945627014024568,10.235238837472929,4.513166395957408
84,1992-01-01,6161.398,11.185555555555554,66.73899999999999,3.8933333333333326,1,1992,0.003714732599410242,11.14415798858239,3.878924167278503
85,1992-04-01,6203.224,11.042380952380952,67.14,3.68,2,1992,0.006008480798334048,10.976429287771108,3.658020851951146
86,1992-07-01,6269.718000000001,11.24765625,67.468,3.083333333333333,3,1992,0.004885314268692431,11.192975049282621,3.0683435109978054
87,1992-10-01,6344.446,11.63296875,67.932,3.07,4,1992,0.006877334440030802,11.553511388226461,3.0490307955013836
88,1993-01-01,6368.772,12.356451612903225,68.313,2.96,1,1993,0.005608549726196843,12.287536354247974,2.9434912827719466
89,1993-04-01,6426.703,12.498253968253968,68.719,2.966666666666667,2,1993,0.00594323188851309,12.424412801893704,2.9491392482428442
90,1993-07-01,6498.229,12.9440625,69.128,3.0033333333333334,3,1993,0.005951774618373484,12.86747817002517,2.9855639297149246
91,1993-10-01,6555.274,13.360625,69.505,3.06,4,1993,0.0054536511977780755,13.288156031940149,3.043402345155025
92,1994-01-01,6630.253000000001,13.627460317460317,69.837,3.243333333333333,1,1994,0.004776634774476873,13.562676365896003,3.2279147634253085
93,1994-04-01,6681.840999999999,13.105,70.17399999999999,3.9866666666666664,2,1994,0.004825522287612349,13.042065223587088,3.9675213041867363
94,1994-07-01,6732.791,13.4309375,70.577,4.476666666666667,3,1994,0.005742867728788514,13.35424583256585,4.45110456192055
95,1994-10-01,6805.581,13.465238095238096,70.96,5.28,4,1994,0.005426697082618892,13.392560725022818,5.251501691093575
96,1995-01-01,6822.519,14.104920634920635,71.344,5.736666666666666,1,1995,0.005411499436302147,14.029002694746135,5.705789788442849
97,1995-04-01,6882.33,15.391428571428573,71.687,5.596666666666667,2,1995,0.004807692307692291,15.317785372522216,5.5698883572567786
98,1995-07-01,6944.7,16.88190476190476,72.04,5.366666666666666,3,1995,0.004924184301198453,16.799182491208583,5.340369702017396
99,1995-10-01,6993.144,17.81793650793651,72.387,5.26,4,1995,0.004816768461965548,17.732523050157432,5.234785251495434
100,1996-01-01,7057.641,18.986507936507937,72.736,4.93,1,1996,0.0048213076933703025,18.895407363616368,4.906345001099868
101,1996-04-01,7133.566,20.030158730158725,73.03699999999999,5.02,2,1996,0.00413825340959062,19.947610463146425,4.999311581801006
102,1996-07-01,7176.754,19.911875,73.27600000000001,5.096666666666667,3,1996,0.0032723140326138545,19.84692961372072,5.080043170114815
103,1996-10-01,7233.918000000001,21.78125,73.668,4.976666666666667,4,1996,0.005349636988918549,21.665348251615356,4.95018497402762
104,1997-01-01,7310.17,23.392950819672127,74.107,5.06,1,1997,0.005959168159852313,23.254374093993903,5.030025233783583
105,1997-04-01,7343.08,24.3059375,74.257,5.046666666666666,2,1997,0.0020241002874223923,24.256839224753218,5.0364723415525345
