DATE,WILL5000INDFC
1971-01-01,1.08000000000000000000
1971-04-01,1.13666666666666666667
1971-07-01,1.11333333333333333333
1971-10-01,1.11333333333333333333
1972-01-01,1.24000000000000000000
1972-04-01,1.28000000000000000000
1972-07-01,1.29333333333333333333
1972-10-01,1.3566666666666667
1973-01-01,1.30666666666666666667
1973-04-01,1.19666666666666666667
1973-07-01,1.24333333333333333333
1973-10-01,1.17666666666666666667
1974-01-01,1.13000000000000000000
1974-04-01,1.02000000000000000000
1974-07-01,0.83333333333333333333
1974-10-01,0.83666666666666666667
1975-01-01,0.97666666666666666667
1975-04-01,1.12000000000000000000
1975-07-01,1.07666666666666666667
1975-10-01,1.11666666666666666667
1976-01-01,1.27666666666666666667
1976-04-01,1.30000000000000000000
1976-07-01,1.3366666666666667
1976-10-01,1.3633333333333333
1977-01-01,1.3533333333333333
1977-04-01,1.3600000000000000
1977-07-01,1.3666666666666667
1977-10-01,1.3533333333333333
1978-01-01,1.31333333333333333333
1978-04-01,1.4666666666666667
1978-07-01,1.5933333333333333
1978-10-01,1.4766666666666667
1979-01-01,1.5933333333333333
1979-04-01,1.6800000000000000
1979-07-01,1.8266666666666667
1979-10-01,1.8795454545454545
1980-01-01,1.9611290322580645
1980-04-01,1.9306349206349206
1980-07-01,2.2534375000000000
1980-10-01,2.4858730158730159
1981-01-01,2.4708064516129032
1981-04-01,2.5734920634920635
1981-07-01,2.4684375000000000
1981-10-01,2.4190625000000000
1982-01-01,2.2572580645161290
1982-04-01,2.2731746031746032
1982-07-01,2.2846875000000000
1982-10-01,2.7996875000000000
1983-01-01,3.0912698412698413
1983-04-01,3.4882539682539683
1983-07-01,3.5929687500000000
1983-10-01,3.5842857142857143
1984-01-01,3.4596825396825397
1984-04-01,3.3622222222222222
1984-07-01,3.4944444444444444
1984-10-01,3.6276562500000000
1985-01-01,3.9640322580645161
1985-04-01,4.1853968253968254
1985-07-01,4.3322222222222222
1985-10-01,4.5346875000000000
1986-01-01,5.1296721311475410
1986-04-01,5.6712500000000000
1986-07-01,5.6731250000000000
1986-10-01,5.7081250000000000
1987-01-01,6.5725806451612903
1987-04-01,6.8730158730158730
1987-07-01,7.4517187500000000
1987-10-01,5.9743750000000000
1988-01-01,6.1539682539682540
1988-04-01,6.3893650793650794
1988-07-01,6.5476562500000000
1988-10-01,6.7382539682539683
1989-01-01,7.2012903225806452
1989-04-01,7.8395312500000000
1989-07-01,8.5711111111111111
1989-10-01,8.6714285714285714
1990-01-01,8.4398412698412698
1990-04-01,8.7609523809523810
1990-07-01,8.4149206349206349
1990-10-01,7.8845312500000000
1991-01-01,8.9568852459016393
1991-04-01,9.8000000000000000
1991-07-01,10.0715625000000000
1991-10-01,10.2960937500000000
1992-01-01,11.1855555555555556
1992-04-01,11.0423809523809524
1992-07-01,11.2476562500000000
1992-10-01,11.6329687500000000
1993-01-01,12.3564516129032258
1993-04-01,12.4982539682539683
1993-07-01,12.9440625000000000
